function,generator,dim,stat,p_value,significant
rosenbrock,mersenne,2,103.0,0.06506987638577208,False
rosenbrock,mersenne,10,161.0,0.1413474228340416,False
rosenbrock,mersenne,30,0.0,1.0,False
rosenbrock,pcg,2,178.5,0.8007044056293015,False
rosenbrock,pcg,10,195.5,0.634231156435467,False
rosenbrock,pcg,30,0.0,1.0,False
rastrigin,mersenne,2,138.5,0.0859540100568883,False
rastrigin,mersenne,10,163.5,0.2428366419631578,False
rastrigin,mersenne,30,56.5,0.00029391815970997967,True
rastrigin,pcg,2,133.5,0.43364938243919104,False
rastrigin,pcg,10,196.5,0.6495653161521847,False
rastrigin,pcg,30,126.5,0.049035073587737434,True
ackley,mersenne,2,148.5,0.4921047332305638,False
ackley,mersenne,10,197.5,0.6651559704169843,False
ackley,mersenne,30,109.5,0.011381056914442429,True
ackley,pcg,2,154.0,0.5835514507848552,False
ackley,pcg,10,112.5,0.039218851724201705,True
ackley,pcg,30,144.0,0.11166652455904172,False
schwefel,mersenne,2,98.0,0.0284329308511656,True
schwefel,mersenne,10,129.5,0.09400832158537116,False
schwefel,mersenne,30,1.0,0.6547208460185769,False
schwefel,pcg,2,128.5,0.5382584848459709,False
schwefel,pcg,10,184.0,0.4686521864314045,False
schwefel,pcg,30,4.0,0.34523107177184,False
